,Date,Mass- 59,Mass- 89,Mass- 205,Analog V,Pulse V
0,2023-10-29 18:08:34,8944.343,11929.57,20356.69,2390,1849
1,2023-10-30 12:33:44,1911.845,2552.381,8268.332,2390,1849
2,2023-10-30 17:30:24,1276.864,1599.163,4632.988,2390,1849
3,2023-10-31 03:40:11,10463.50,13564.46,28791.15,2390,1849
4,2023-10-31 15:07:35,10897.23,15908.82,34911.39,2422,1991
